description,latitude,longitude,altitude
"Daisetta, Texas",30.114693,-94.641633,26.0
"Dalhart, Texas",36.057423,-102.512212,1214.0
"Dallas, Texas",32.793333,-96.766513,148.0
"Dalworthington Gardens, Texas",32.686262,-97.155115,186.0
"Damon, Texas",29.283237,-95.740772,34.0
"Danbury, Texas",29.227417,-95.34617,13.0
"Darrouzett, Texas",36.445296,-100.322912,776.0
"Dawson, Texas",31.894596,-96.714699,149.0
"Dayton, Texas",30.013177,-94.936004,20.0
"Dayton Lakes, Texas",30.143605,-94.81582,19.0
"De Kalb, Texas",33.507351,-94.616534,127.0
"De Leon, Texas",32.11135,-98.535156,387.0
"DeCordova, Texas",32.429104,-97.693084,224.0
"DeSoto, Texas",32.599349,-96.862941,194.0
"Dean, Texas",33.916212,-98.40145,302.0
"Deanville, Texas",30.428385,-96.757581,113.0
"Decatur, Texas",33.225922,-97.586986,311.0
"Deer Park, Texas",29.687279,-95.115897,10.0
"Deerwood, Texas",30.315312,-95.301351,60.0
"Del Mar Heights, Texas",26.056623,-97.423609,3.0
"Del Rio, Texas",29.373045,-100.881851,294.0
"Del Sol, Texas",28.01316,-97.520239,17.0
"Dell City, Texas",31.934889,-105.199816,1127.0
"Delmita, Texas",26.68515,-98.423067,87.0
"Denison, Texas",33.766936,-96.580667,247.0
"Dennis, Texas",32.607895,-97.937633,234.0
"Denton, Texas",33.217449,-97.141346,205.0
"Denver City, Texas",32.967871,-102.832225,1092.0
"Deport, Texas",33.529148,-95.317422,132.0
"Detroit, Texas",33.660217,-95.266425,147.0
"Devers, Texas",30.028699,-94.585972,21.0
"Devine, Texas",29.145834,-98.904985,203.0
"Deweyville, Texas",30.299774,-93.772977,17.0
"Diboll, Texas",31.188315,-94.782885,73.0
"Dickens, Texas",33.621273,-100.836804,777.0
"Dickinson, Texas",29.451717,-95.056238,11.0
"Dilley, Texas",28.667517,-99.176465,175.0
"Dime Box, Texas",30.354995,-96.823145,114.0
"Dimmitt, Texas",34.547895,-102.306845,1178.0
"Dodd City, Texas",33.575673,-96.075543,206.0
"Dodson, Texas",34.765375,-100.020419,548.0
"Doffing, Texas",26.278794,-98.385575,60.0
"Domino, Texas",33.264004,-94.110991,76.0
"Donna, Texas",26.16105,-98.038929,28.0
"Doolittle, Texas",26.359873,-98.116438,27.0
"Dorchester, Texas",33.531277,-96.689098,265.0
"Double Horn, Texas",30.498258,-98.218497,293.0
"Double Oak, Texas",33.06249,-97.107358,194.0
"Douglassville, Texas",33.191645,-94.35194,120.0
"Driftwood, Texas",30.133072,-98.037292,325.0
"Dripping Springs, Texas",30.195936,-98.093701,360.0
"Driscoll, Texas",27.67302,-97.751039,20.0
"Dublin, Texas",32.087765,-98.338865,457.0
"Dumas, Texas",35.86202,-101.964972,1113.0
"Duncanville, Texas",32.64595,-96.91387,215.0
"E. Lopez, Texas",26.308661,-98.637851,69.0
"Eagle Lake, Texas",29.587326,-96.328579,53.0
"Eagle Pass, Texas",28.712803,-100.484812,240.0
"Early, Texas",31.742153,-98.936602,430.0
"Earth, Texas",34.2338,-102.409176,1128.0
"East Alto Bonito, Texas",26.302275,-98.635768,64.0
"East Bernard, Texas",29.524377,-96.062974,37.0
"East Columbia, Texas",29.140981,-95.605116,9.0
"East Mountain, Texas",32.585825,-94.85798,133.0
"East Tawakoni, Texas",32.907624,-95.933131,139.0
"Eastland, Texas",32.402156,-98.817671,439.0
"Easton, Texas",32.381929,-94.591243,87.0
"Ector, Texas",33.579284,-96.273115,201.0
"Edcouch, Texas",26.293723,-97.963091,20.0
"Eden, Texas",31.216246,-99.843965,626.0
"Edgecliff Village, Texas",32.656077,-97.340598,216.0
"Edgewater Estates, Texas",28.096882,-97.864972,36.0
"Edgewood, Texas",32.69076,-95.882221,145.0
"Edinburg, Texas",26.318285,-98.153449,29.0
"Edmonson, Texas",34.279108,-101.896665,1067.0
"Edna, Texas",28.975125,-96.648464,19.0
"Edom, Texas",32.374148,-95.609273,158.0
"Edroy, Texas",27.9609,-97.675441,25.0
"Eidson Road, Texas",28.671663,-100.482728,226.0
"El Brazil, Texas",26.468651,-98.726828,120.0
"El Camino Angosto, Texas",26.111524,-97.643788,12.0
"El Campo, Texas",29.200693,-96.272343,34.0
"El Castillo, Texas",26.334926,-98.638659,76.0
"El Cenizo, Texas",26.410571,-98.915845,71.0
"El Cenizo, Texas",27.331677,-99.501281,132.0
"El Chaparral, Texas",26.348795,-98.767339,49.0
"El Indio, Texas",28.508925,-100.307239,225.0
"El Lago, Texas",29.571455,-95.045248,8.0
"El Mesquite, Texas",26.384685,-98.771579,77.0
"El Paso, Texas",31.84778,-106.431106,1187.0
"El Quiote, Texas",26.38449,-98.908378,55.0
"El Rancho Vela, Texas",26.403815,-98.769016,85.0
"El Refugio, Texas",26.340638,-98.758944,46.0
"El Socio, Texas",26.340454,-98.637097,79.0
"Elbert, Texas",33.274758,-99.002109,356.0
"Eldorado, Texas",30.861728,-100.597926,744.0
"Electra, Texas",34.032294,-98.920245,374.0
"Elgin, Texas",30.354376,-97.391397,163.0
"Elias-Fela Solis, Texas",26.385431,-98.622012,91.0
"Elkhart, Texas",31.631393,-95.580417,117.0
"Ellinger, Texas",29.837473,-96.705022,88.0
"Elm Creek, Texas",28.777369,-100.493356,229.0
"Elmendorf, Texas",29.253331,-98.323027,166.0
"Elmo, Texas",32.739676,-96.152689,165.0
"Elsa, Texas",26.297814,-97.993562,22.0
"Emerald Bay, Texas",32.161272,-95.438638,113.0
"Emhouse, Texas",32.161303,-96.577011,144.0
"Emory, Texas",32.876983,-95.766251,145.0
"Encantada-Ranchito-El Calaboz, Texas",26.034679,-97.636372,13.0
"Enchanted Oaks, Texas",32.2666,-96.108989,110.0
"Encinal, Texas",28.040475,-99.354489,169.0
"Encino, Texas",26.936337,-98.11527,35.0
"Ennis, Texas",32.325067,-96.633799,169.0
"Escobares, Texas",26.412634,-98.960029,54.0
"Estelline, Texas",34.546994,-100.439938,561.0
"Eugenio Saenz, Texas",26.358253,-98.633123,84.0
"Euless, Texas",32.849366,-97.078592,177.0
"Eureka, Texas",32.006774,-96.270567,118.0
"Eustace, Texas",32.307542,-96.013801,130.0
"Evadale, Texas",30.326641,-94.052041,17.0
"Evant, Texas",31.476158,-98.15016,383.0
"Evergreen, Texas",26.424857,-99.024168,72.0
"Everman, Texas",32.628827,-97.284246,200.0
"Fabens, Texas",31.513974,-106.145258,1114.0
"Fabrica, Texas",28.741973,-100.492598,223.0
"Fair Oaks Ranch, Texas",29.746078,-98.638114,385.0
"Fairchilds, Texas",29.43655,-95.776986,24.0
"Fairfield, Texas",31.71744,-96.170483,142.0
"Fairview, Texas",33.140513,-96.613031,174.0
"Falcon Heights, Texas",26.560372,-99.122493,85.0
"Falcon Lake Estates, Texas",26.87195,-99.257431,98.0
"Falcon Mesa, Texas",26.870557,-99.29173,99.0
"Falcon Village, Texas",26.56511,-99.134151,101.0
"Falconaire, Texas",26.551121,-99.116881,83.0
"Falfurrias, Texas",27.22441,-98.145191,37.0
"Falls City, Texas",28.981666,-98.021565,95.0
"Falman, Texas",27.927997,-97.1713,5.0
"Fannett, Texas",29.926273,-94.243345,8.0
"Farmers Branch, Texas",32.927789,-96.878539,159.0
"Farmersville, Texas",33.160912,-96.360657,196.0
"Farnsworth, Texas",36.311078,-100.968272,912.0
"Farwell, Texas",34.385631,-103.03734,1263.0
"Fate, Texas",32.949274,-96.383211,178.0
"Fayetteville, Texas",29.906326,-96.675873,128.0
"Fernando Salinas, Texas",26.397879,-98.831072,78.0
"Ferris, Texas",32.536723,-96.675537,145.0
"Fifth Street, Texas",29.598002,-95.551317,24.0
"Flat, Texas",31.309323,-97.624087,256.0
"Flatonia, Texas",29.68971,-97.105205,137.0
"Flor del Rio, Texas",26.401302,-98.901498,71.0
"Florence, Texas",30.841285,-97.791846,306.0
