description,latitude,longitude,altitude
"Duncan, Oklahoma",34.481607,-97.960537,339.0
"Durant, Oklahoma",33.995153,-96.39254,210.0
"Durham, Oklahoma",35.84389,-99.926126,748.0
"Dustin, Oklahoma",35.271245,-96.027826,217.0
"Dwight Mission, Oklahoma",35.557966,-94.850529,183.0
"Eagle City, Oklahoma",35.93383,-98.589967,520.0
"Eagletown, Oklahoma",34.041866,-94.570239,134.0
"Eakly, Oklahoma",35.305361,-98.55619,452.0
"Earl, Oklahoma",34.203356,-96.892088,226.0
"Earlsboro, Oklahoma",35.3292,-96.802928,307.0
"East Duke, Oklahoma",34.662829,-99.569629,433.0
"Edgewater Park, Oklahoma",34.824734,-98.375198,389.0
"Edmond, Oklahoma",35.673807,-97.413076,331.0
"El Reno, Oklahoma",35.541833,-97.961268,404.0
"Eldon, Oklahoma",35.940128,-94.809192,296.0
"Eldorado, Oklahoma",34.472945,-99.649617,442.0
"Elgin, Oklahoma",34.785937,-98.296627,390.0
"Elk City, Oklahoma",35.389612,-99.428749,599.0
"Elm Grove, Oklahoma",35.795962,-94.568114,315.0
"Elmer, Oklahoma",34.480801,-99.352104,401.0
"Elmore City, Oklahoma",34.629322,-97.393953,304.0
"Elohim City, Oklahoma",35.641465,-94.510467,348.0
"Emet, Oklahoma",34.205997,-96.53929,248.0
"Empire City, Oklahoma",34.477613,-98.059445,352.0
"Enid, Oklahoma",36.406702,-97.869861,384.0
"Enterprise, Oklahoma",35.22483,-95.376876,223.0
"Erick, Oklahoma",35.215604,-99.868683,630.0
"Erin Springs, Oklahoma",34.810665,-97.605272,305.0
"Etowah, Oklahoma",35.125933,-97.1704,351.0
"Etta, Oklahoma",35.836225,-94.903013,228.0
"Eufaula, Oklahoma",35.292114,-95.586425,187.0
"Evening Shade, Oklahoma",35.620973,-94.905374,295.0
"Fair Oaks, Oklahoma",36.158993,-95.690685,184.0
"Fairfax, Oklahoma",36.570081,-96.707885,271.0
"Fairfield, Oklahoma",35.837508,-94.6082,357.0
"Fairland, Oklahoma",36.751393,-94.847266,258.0
"Fairmont, Oklahoma",36.356015,-97.705455,367.0
"Fairview, Oklahoma",36.27061,-98.477017,396.0
"Fallis, Oklahoma",35.749299,-97.118222,304.0
"Fanshawe, Oklahoma",34.961951,-94.911181,245.0
"Fargo, Oklahoma",36.374206,-99.622165,644.0
"Faxon, Oklahoma",34.460258,-98.579374,330.0
"Fay, Oklahoma",35.81609,-98.658661,518.0
"Felt, Oklahoma",36.563366,-102.79479,1358.0
"Finley, Oklahoma",34.327347,-95.497668,151.0
"Fittstown, Oklahoma",34.609033,-96.640542,268.0
"Fitzhugh, Oklahoma",34.657603,-96.766932,392.0
"Fletcher, Oklahoma",34.823702,-98.231446,428.0
"Flint Creek, Oklahoma",36.176928,-94.746713,349.0
"Flute Springs, Oklahoma",35.626728,-94.799979,266.0
"Foraker, Oklahoma",36.87283,-96.569211,387.0
"Forest Park, Oklahoma",35.509858,-97.447143,363.0
"Forgan, Oklahoma",36.906979,-100.537979,788.0
"Fort Cobb, Oklahoma",35.115273,-98.445334,409.0
"Fort Coffee, Oklahoma",35.294209,-94.571353,141.0
"Fort Gibson, Oklahoma",35.782175,-95.260139,154.0
"Fort Supply, Oklahoma",36.572092,-99.57352,614.0
"Fort Towson, Oklahoma",34.031395,-95.277635,151.0
"Foss, Oklahoma",35.450005,-99.170738,493.0
"Foster, Oklahoma",34.605963,-97.489859,304.0
"Fox, Oklahoma",34.357864,-97.495,308.0
"Foyil, Oklahoma",36.430325,-95.520461,227.0
"Francis, Oklahoma",34.874579,-96.59266,290.0
"Frederick, Oklahoma",34.349965,-98.987997,377.0
"Freedom, Oklahoma",36.767478,-99.112273,468.0
"Friendship, Oklahoma",34.697835,-99.228694,426.0
"Gage, Oklahoma",36.318128,-99.757603,653.0
"Gans, Oklahoma",35.387658,-94.693563,167.0
"Garber, Oklahoma",36.436669,-97.581012,360.0
"Garvin, Oklahoma",33.957181,-94.930997,133.0
"Gate, Oklahoma",36.851706,-100.055208,692.0
"Geary, Oklahoma",35.637076,-98.316976,459.0
"Gene Autry, Oklahoma",34.314442,-97.042171,247.0
"Geronimo, Oklahoma",34.483127,-98.387653,333.0
"Gerty, Oklahoma",34.835734,-96.288876,256.0
"Gideon, Oklahoma",35.997151,-95.027925,247.0
"Glencoe, Oklahoma",36.234081,-96.932853,311.0
"Glenpool, Oklahoma",35.94949,-96.006754,216.0
"Golden, Oklahoma",34.030741,-94.902967,120.0
"Goldsby, Oklahoma",35.123907,-97.486624,366.0
"Goltry, Oklahoma",36.531965,-98.151302,421.0
"Goodwell, Oklahoma",36.59479,-101.621981,999.0
"Gore, Oklahoma",35.54061,-95.112153,163.0
"Gotebo, Oklahoma",35.07123,-98.874261,437.0
"Gould, Oklahoma",34.669144,-99.773646,494.0
"Gowen, Oklahoma",34.883282,-95.47238,221.0
"Gracemont, Oklahoma",35.187856,-98.259114,389.0
"Grainola, Oklahoma",36.937929,-96.648771,368.0
"Grand Lake Towne, Oklahoma",36.505588,-95.027836,247.0
"Grandfield, Oklahoma",34.230749,-98.687311,344.0
"Grandview, Oklahoma",35.96476,-94.99866,295.0
"Granite, Oklahoma",34.951154,-99.368379,484.0
"Grant, Oklahoma",33.936486,-95.517868,147.0
"Grayson, Oklahoma",35.505391,-95.871617,202.0
"Greasy, Oklahoma",35.681874,-94.702453,356.0
"Greenfield, Oklahoma",35.729052,-98.377483,445.0
"Greenville, Oklahoma",34.0044,-97.121286,229.0
"Gregory, Oklahoma",36.169725,-95.574088,193.0
"Grove, Oklahoma",36.585034,-94.787247,253.0
"Guthrie, Oklahoma",35.876512,-97.408657,312.0
"Guymon, Oklahoma",36.690101,-101.477046,954.0
"Haileyville, Oklahoma",34.854152,-95.578632,200.0
"Hallett, Oklahoma",36.231852,-96.56786,281.0
"Hammon, Oklahoma",35.63232,-99.38322,531.0
"Hanna, Oklahoma",35.202089,-95.889242,211.0
